"","LnL","numparams","d","e","j","AIC","AIC_wt"
"DEC",-137.273565847088,2,0.255285705125807,0.149652294856108,0,278.547131694175,0.069672561931895
"DEC+J",-133.98293457988,3,0.244681839066925,0.184720624484508,1.80104790076095,273.965869159759,0.688446663824786
"DIVALIKE",-142.896242243337,2,0.323874276581707,0.257912643504596,0,289.792484486674,0.000251863043974037
"DIVALIKE+J",-136.929188829692,3,0.255177858883079,0.226478849771961,1.99998640767865,279.858377659385,0.0361683200213556
"BAYAREALIKE",-175.083338006177,2,0.163630719086277,0.33108374258499,0,354.166676012355,2.64536966791036e-18
"BAYAREALIKE+J",-135.192118182713,3,0.183111580688748,0.21171747115945,0.501308777457124,276.384236365427,0.20546059117799
