"","LnL","numparams","d","e","j","AIC","AIC_wt"
"DEC",-90.4742894931031,2,0.319203959036089,0.207292622981275,0,184.948578986206,0.211661734823092
"DEC+J",-89.5460377385125,3,0.438047660711329,0.478442775458031,1.03238426251431,185.092075477025,0.197007374982238
"DIVALIKE",-102.390643972349,2,0.194295259645811,0.0480579501270895,0,208.781287944698,1.41395424676378e-06
"DIVALIKE+J",-90.8518621673812,3,0.702289732245033,0.90276408108675,1.98017243740048,187.703724334762,0.0533789639923435
"BAYAREALIKE",-94.1628270360291,2,0.190589850848133,0.358044769133057,0,192.325654072058,0.00529335291779189
"BAYAREALIKE+J",-88.5514009140754,3,0.569659642284562,0.949682641037693,0.0375141701056941,183.102801828151,0.532657159330288
